README.TXT     123183  01-27-94  
BASIC           <DIR>            Basic Beehive files
BBS             <DIR>            BBS files for Beehive
COMMS           <DIR>            Beehive communication files
COMPRESS        <DIR>            Beehive compression files
CPMFORTH        <DIR>            Beehive F83 Forth
CRR             <DIR>            CRR Offline Mail Reader
GAMES           <DIR>            Beehive Games
MIDI            <DIR>            MIDI Samples and Documents
MYZ80           <DIR>            Simeon Cran's CP/M Emulator
OS              <DIR>            CP/M OS files
PROGRAM         <DIR>            Programming Tools
TESERACT        <DIR>            Beehive Teseract RCPM PD Software
TEXT            <DIR>            Beehive text files
UTILITYS        <DIR>            Beehive Utilities
ZCAT            <DIR>            Utils for ZCPR, ZSYS, CP/M
ZSUS            <DIR>            Z3COM and Z3 Help System
