AC42.OBJ      Archive Copy utility
ALIAS-1.LBR   Some small command aliases
ALIAS-JB.LBR  Some more command aliases
APPEND.LBR    Joins one file onto the end of another
ARUNZ09Z.LBR  A simple command aliasing utility
ASM-SUBS.LBR  SUBMIT files for various assemblers.
BALIAS13.LBR  An alias command editor
BISHOW32.LBR  Browse through plain or squeezed text file
BUP21.LBR     A disk backup utility
BWZ3PTCH.LBR  Patch Bondwell-12/12A BIOS for ZCPR3
CLNDR13B.LBR  Enhanced CLEANDIR directory utility
CONNSAGE.LBR  Acrimony between Richard Conn and Jay Sage
CRUNCH20.LBR  Lempel-Ziv-Welch file compression
DDTZ.LBR      DDT for Z80 (Zilog mnemonics)
DEBUGRCP.LBR  Invokes MU as an RCP to debug other RCPs
DIR14.OBJ     Some sort of directory program
DISCIOP.Z80   Capture console I/O to disk
DSTAT01.LBR   Display BIOS disk information
EXTEND.LBR    Add a line of text to a file
FBAD57.LBR    Locks out bad sectors from a disk
FILT.LBR      A collection of related text filters
FILT7A.LBR    Another text filter
FILTX2.LBR    Filters out control chars (not CR,LF,HT)
FIND54.LBR    Scans files for text string
FINDF26.LBR   Searches all disks & user areas for a file
FINDU.LBR     Scans squeezed and plain files for text
FINREP.LBR    Find/Replace text in a file
FNDERR14.LBR  Catch compile errors (F80, BASCOM, M80 etc)
FORM7.LBR     Formats assembly-language source files
FT.LBR        A quick text-file preparation utility
FTNOTE14.LBR  Footnotes for WordStar documents
GRDEMO.LBR    Demo of Z-Sys graphics, windows, menus
GREP.LBR      Searches text files for regular expressions
HBAUD10.LBR   Set baud rate on HD64180 serial channels
HDISK002.DAT  Characteristics of several hard disks
HOLDZCOM.LBR  Timed delays in batch jobs
HSH14.LBR     Command history processor
I-O-CAP.LBR   Capture console I/O to disk
IF14.LBR      Conditional execution of commands
INDEXER.LBR   Aid to generating an index for a book
IOP180.LBR    I/O package for SB180
JUMPERS.TXT   Disk drive jumper settings for SB180
