*--*  04-14-93  -  08:26:30  *--*

Scanning file area - C-64 Cargo Bay 1 Games             

1!G0191        30,593   01/25/92 O Computes Gazette Jan '91 Part 1
Dwnlds: 0     DL Time   00:02:39 O                                  *Info*

1!G0291        30,321   01/25/92 O Compute's Gazette Feb '91 part 1
Dwnlds: 0     DL Time   00:02:37 O 

1!G0391        25,234   01/25/92 O Compute's Gazette March '91 part 1
Dwnlds: 0     DL Time   00:02:11 O 

1!G0491        23,880   01/25/92 O Compute's Gazette April '91 part 1
Dwnlds: 0     DL Time   00:02:04 O                                  *Info*

1!G0591        23,324   01/25/92 O Compute's Gazette May '91 part 1
Dwnlds: 0     DL Time   00:02:01 O 

1!NEURS1       37,972   03/16/92 O Neuromancer Side 1 Part 1
Dwnlds: 0     DL Time   00:03:17 O 

1!NEURS2       39,244   03/16/92 O Neuromancer Side 2 part 1
Dwnlds: 0     DL Time   00:03:24 O 

1!NEURS3       40,934   03/16/92 O Neuromancer Side 3 part 1
Dwnlds: 0     DL Time   00:03:33 O 

1!NEURS4       42,802   03/16/92 O Neuromancer Side 4 part 1
Dwnlds: 0     DL Time   00:03:42 O 

1!PPS1         24,192   03/29/92 O Print Power side1 part 1
Dwnlds: 0     DL Time   00:02:06 O 

1!PPS2         17,792   03/29/92 O Print Power Side 2 Part 1
Dwnlds: 0     DL Time   00:01:32 O 

2!G0191        40,296   01/25/92 O Gazette 01-91 part 2
Dwnlds: 0     DL Time   00:03:29 O 

2!G0291        41,633   01/25/92 O Gazette Feb '91 part 2
Dwnlds: 0     DL Time   00:03:36 O 

2!G0391        41,894   01/25/92 O Gazette March '91 part 2
Dwnlds: 0     DL Time   00:03:38 O 

2!G0491        41,894   01/25/92 O Gazette Apr '91 part 2
Dwnlds: 0     DL Time   00:03:38 O 

2!G0591        41,581   01/25/92 O Gazette May '91 part 2
Dwnlds: 0     DL Time   00:03:36 O 

2!NEURS1       39,427   03/16/92 O Side1 part2
Dwnlds: 0     DL Time   00:03:25 O 

2!NEURS2       43,093   03/16/92 O side 2 part 2
Dwnlds: 0     DL Time   00:03:44 O 

