VOLUME 1	VARIOUS CP/M UTILITY PROGRAMS
NUMBER	SIZE	NAME		COMMENTS
1.1	8K	ASSIGN.ASM	IOBYTE ASIGN. USE WITH VBIOS31
1.2	2K	CASDSK.ASM	CASSETTE TO DISK TRANSFER
1.3	9K	COPY.ASM	COPY SYSTEM, DATA OR WHOLE DISKETTE-( A TO B )
1.4	8K	COPY.COM	AS ASM, USED TO COPY THIS DISK
1.5	9K	COPYX.ASM	AS COPY, USES INTERNAL SCRATCH INSTEAD OF 40H
1.6	4K	DIABLO.ASM	ROMABLE HYTYPE/QUME DRIVER
1.7	8K	DISASSM1.ASM	CHRISTENSEN DISASSEMBLER AS PER FEB '77 DR DOBBS
1.8	4K	DISASSM2.ASM	INTEL LIBRARY DISASSEMBLER
1.9	9K	DISKTEST.ASM	PROGRAM TO SEARCH FOR DISK ERRORS          
1.10	2K	DSKCAS.ASM	DISKETTE TO CASETTE TRANSFER
1.11	1K	ED3.ASM		PATCHES FOR 'R' BUG IN CP/M ED.COM
1.12	7K	EXAM.ASM	SECTOR VIEWER FOR VDM. SEE DISK1.DOC 
1.13	1K	FILES.COM	GIVES CONSOLE DISPLAY OF DIRECTORY         
1.14	1K	GETVEC.LIB	ASM ROUTINE TO CREATE BIOS PRIMITIVE JUMP TABLE
1.15	4K	HYS13.ASM	DIABLO DRIVER FOR 3P+S IN Z80
1.16	5K	HYS15.ASM	DIABLO DRIVER FOR 3P+S IN 8080
1.17	7K	ICOPY.ASM	COPY A FILE FROM ISIS DISKETTE USE IDIR FIRST 
1.18	6K	IDIR.COM	LISTS DIRECTORY OF ISIS DISKETTE IN B.
1.19	7K	LIOS.ASM	CP/M I/O SUBROUTINES. SEE PRINT FOR APPLICATION
1.20	10K	LTG.ASM
1.21	6K	MAZE.ASM	INTEL MAZE PROGRAM
1.22	4K	MEMTEST.ASM	INTEL RAM TEST
1.23	7K	PRINT.ASM	PRNT to permit CONDITIONAL assembly
1.24	5K	PRNT.ASM	TRANSIENT TO PRINT FILES WITH PAGING
1.25	10K	RELOC.ASM	CP/M RELOCATION PROGRAM
1.26	7K	RTE.ASM		INTEL REAL-TIME EXECUTIVE
1.27	4K	SEDIT.ASM	SYMBOL TABLE EDITOR OF DISASSM1
1.28	16K	SPACE.ASM	GAME
1.29	8K	SPAT.ASM	RE-WRITE OF EXAM TO ALLOW WRITING.
1.30	3K	TRAIN.ASM	VDM GRAPHIC
1.31	4K	TREAD.ASM	TAPE READER TO DISK TRANSFER
1.32	17K	VBIOS31.ASM	BIOS FOR 32K OF MEMORY WITH VDM
1.33	3K	VBOOT31		COLD BOOT FOR VBIOS31
1.34	1K	XSTAT.COM	SIMILAR TO STAT. 

VOLUME 2	LAWRENCE LIVERMORE BASIC AND DISK TINY BASIC

2.1	84K	LLLBASIC.ASM	LLLBASIC INTERPRETER SOURCE
2.2	38K	LLLBASIC.COM	SIMPLE PATCHED COM FOR CP/M
2.3	2K	LLLBASIC.DOC	NOTES ON LLLBASIC
2.4	61K	LLLFP.ASM	FLOATING-POINT PACKAGE FOR LLLBASIC
2.5	2K	LLLMON.ASM	KLUGE MONITOR TO TEST LLL IN LLLBASIC.COM
2.6	2K	STARTREK.DOC	COMMENTS ON STARTREK.TBI
2.7	6K	STARTREK.TBI	TINY BASIC LOADABLE STARTREK
2.8	3K	TINYBAS.COM	SHERRY version WANG PALO ALTO TINY BASIC, 
2.9	13K	TINYBAS.DOC	FULL INSTRUCTIONS FOR TINYBAS

VOLUME 3	VARIOUS BASIC E GAMES AND PROGRAMS

3.1	2K	ACE.BAS		BASIC-E PROGRAM. SEE DOC'S
3.2	4K	AMAZE.BAS	BASIC-E PROGRAM. SEE DOC'S
3.3	2K	ANIMAL.BAS	BASIC-E PROGRAM. SEE DOC'S
3.4	2K	BAGELS.BAS	BASIC-E PROGRAM. SEE DOC'S
3.5	6K	BAGELS2.BAS	BASIC-E PROGRAM. SEE DOC'S
3.6	7K	BIOPRINT.BAS	BASIC-E PROGRAM. SEE DOC'S
3.7	11K	BLKFRI.BAS	BASIC-E PROGRAM. SEE DOC'S
3.8	10K	BLKFRI2.BAS	BASIC-E PROGRAM. SEE DOC'S
3.9	6K	CANNONS.BAS	BASIC-E PROGRAM. SEE DOC'S
3.10	3K	CHASE.BAS	BASIC-E PROGRAM. SEE DOC'S
3.11	2K	CHOMP.BAS	BASIC-E PROGRAM. SEE DOC'S
3.12	1K	COMBINE.BAS	BASIC-E PROGRAM. SEE DOC'S
3.13	1K	CORE.BAS	BASIC-E PROGRAM. SEE DOC'S
3.14	1K	CORETEST.BAS	BASIC-E PROGRAM. SEE DOC'S
3.15	4K	CRAPS.BAS	BASIC-E PROGRAM. SEE DOC'S
3.16	1K	EUCLID.BAS	BASIC-E PROGRAM. SEE DOC'S
3.17	1K	FIB.BAS		BASIC-E PROGRAM. SEE DOC'S
3.18	1K	FIT.BAS		BASIC-E PROGRAM. SEE DOC'S
3.19	4K	FORMAT.BAS	BASIC-E PROGRAM. SEE DOC'S
3.21	5K	HANG.BAS	BASIC-E PROGRAM. SEE DOC'S
3.22	5K	HELLO.BAS	BASIC-E PROGRAM. SEE DOC'S
3.23	7K	KENO.BAS	BASIC-E PROGRAM. SEE DOC'S
3.24	5K	LANDER.BAS	BASIC-E PROGRAM. SEE DOC'S
3.25	8K	LANES.BAS	BASIC-E PROGRAM. SEE DOC'S
3.26	7K	LEM.BAS		BASIC-E PROGRAM. SEE DOC'S
3.27	3K	LOAN.BAS	BASIC-E PROGRAM. SEE DOC'S
3.28	2K	LOVE.BAS	BASIC-E GRAPHIC
3.29	2K	PLOT2.BAS	BASIC-E PROGRAM. SEE DOC'S
3.30	4K	POET.BAS	BASIC-E PROGRAM. SEE DOC'S
3.32	5K	S/TREK.BAS	BASIC-E PROGRAM. SEE DOC'S
3.33	4K	STARS.BAS	BASIC-E PROGRAM. SEE DOC'S
3.34	27K	STARTREK.BAS	BASIC-E PROGRAM. SEE DOC'S
3.35	7K	STORY.BAS	BASIC-E PROGRAM. SEE DOC'S
3.36	4K	STRIKE9.BAS	BASIC-E PROGRAM. SEE DOC'S
3.38	7K	TTT.BAS		BASIC-E PROGRAM. SEE DOC'S
3.39	9K	WUMPUS.BAS	BASIC-E PROGRAM. SEE DOC'S

VOLUME 4	ACTOR, ML80 AND EXAMPLES OF FORTRAN-80 CODE

4.1	16K	ACT.DOC		ACTOR MANUAL
4.2	11K	ACT31.COM	ACTOR INTERPRETER
4.3	11K	ACT31UC.COM	UPPER-CASE CHARACTER SET ACTOR INTERPRETER
4.4	2K	AMAZE		ACTOR PROGRAM
