
1
1,You are standing at the end of a road before a small brick
1,building.  Around you is a forest.  A small stream flows out
1,of the building and down a gully.
2,You have walked up a hill, still in the forest.  The road
2,slopes back down the other side of the hill.  There is a
2,building in the distance.
3,You are inside a building, a well house for a large spring.
4,You are in a valley in the forest beside a stream tumbling
4,along a rocky bed.
5,You are in open forest, with a deep valley to one side.
6,You are in open forest near both a valley and a road.
7,At your feet all the water of the stream splashes into a
7,2-inch slit in the rock.  Downstream the streambed is bare
7,rock.
8,You are in a 20-foot depression floored with bare dirt.
8,Set into the dirt is a strong steel grate mounted in
8,concrete.  A dry streambed leads into the depression.
9,You are in a small chamber beneath a 3x3 steel grate to the
9,surface.  A low crawl over cobbles leads inward to the west.
10,You are crawling over cobbles in a low passage.  There is a
10,dim light at the east end of the passage.
11,You are in a debris room filled with stuff washed in from
11,the surface.  A low wide passage with cobbles becomes
11,plugged with mud and debris here, but an awkward canyon
11,leads upward and west.  A note on the wall says
11,"magic word XYZZY".
12,You are in an awkward sloping east/west canyon.
13,You are in a splendid chamber thirty feet high.  The walls
13,are frozen rivers of orange stone.  An awkward canyon and a
13,good passage exit from east and west sides of the chamber.
14,At your feet is a small pit breathing traces of white mist.
14,An east passage ends here except for a small crack leading
14,on.
15,You are at one end of a vast hall stretching forward out of
15,sight to the west.  There are openings to either side.
15,Nearby, a wide stone staircase leads downward.  The hall is
15,filled with wisps of white mist swaying to and fro almost as
15,if alive.  A cold wind blows up the staircase.  There is a
15,passage at the top of a dome behind you.
16,The crack is far too small for you to follow.
17,You are on the east bank of a fissure slicing clear across
17,the hall.  The mist is quite thick here, and the fissure is
17,too wide to jump.
18,This is a low room with a crude note on the wall.  The note
18,says, "You won't get it up the steps".
19,You are in the hall of the mountain king, with passages off
19,in all directions.
20,You are at the bottom of the pit with a broken neck.
21,You didn't make it.
22,The dome is unclimbable.
23,You are at the west end of the twopit room.  There is a
23,large hole in the wall above the pit at this end of the
23,room.
24,You are at the bottom of the eastern pit in the twopit room.
24,There is a small pool of oil in one corner of the pit.
25,You are at the bottom of the western pit in the twopit room.
25,There is a large hole in the wall about 25 feet above you.
26,You clamber up the plant and scurry through the hole at the
26,top.
27,You are on the west side of the fissure in the hall of
27,mists.
28,You are in a low N/S passage at a hole in the floor.  The
28,hole goes down to an E/W passage.
29,You are in the south side chamber.
30,You are in the west side chamber of the hall of the mountain
30,king.  A passage continues west and up here.
31,>$<
32,You can't get by the snake.
33,You are in a large room, with a passage to the south, a
33,passage to the west, and a wall of broken rock to the east.
33,There is a large "Y2" on a rock in the room's center.
34,You are in a jumble of rock, with cracks everywhere.
35,You're at a low window overlooking a huge pit, which extends
35,up out of sight.  A floor is indistinctly visible over 50
35,feet below.  Traces of white mist cover the floor of the
35,pit, becoming thicker to the right.  Marks in the dust
35,around the window would seem to indicate that someone has
35,been here recently.  Directly across the pit from you and 25
35,feet away there is a similar window looking into a lighted
35,room.  A shadowy figure can be seen there peering back at
35,you.
36,You are in a dirty broken passage.  To the east is a crawl.
36,To the west is a large passage.  Above you is a hole to
36,another passage.
37,You are on the brink of a small clean climbable pit.  A
37,crawl leads west.
38,You are in the bottom of a small pit with a little stream,
38,which enters and exits through tiny slits.
39,You are in a large room full of dusty rocks.  There is a big
39,hole in the floor.  There are cracks everywhere, and a
39,passage leading east.
40,You have crawled through a very low wide passage parallel to
40,and north of the hall of mists.
41,You are at the west end of hall of mists.  A low wide crawl
41,continues west and another goes north.  To the south is a
41,little passage 6 feet off the floor.
42,You are in a maze of twisty little passages, all alike.
43,You are in a maze of twisty little passages, all alike.
44,You are in a maze of twisty little passages, all alike.
