\beehive                                 Beehive collection
\beehive\basic                           Basic Beehive files
\beehive\bbs                             BBS files for Beehive
\beehive\comms                           Beehive communication files
\beehive\compress                        Beehive compression files
\beehive\cpmforth                        F83 Forth
\beehive\crr                             CRR Off-line mail reader
\beehive\games                           Games
\beehive\midi                            MIDI Samples and Documents
\beehive\myz80                           Simeon Cran's CP/M Emulator
\beehive\os                              CP/M OS files
\beehive\program                         Programming Tools
\beehive\teseract                        Teseract RCPM PD Software
\beehive\text                            Beehive text files
\beehive\utilitys                        CP/M utility files
\beehive\zcat                            ZCPR3 and Z-System files
\beehive\zcat\zipfiles                   Utils for ZCPR, ZSYS, CP/M
\beehive\zsus                            Z3COM and Z3 Help System
\commodor                                Commodore Files
\cpm                                     CP/M Files
\cpm\22rsx                               RSX Files
\cpm\6502                                6502 Disassembler
\cpm\amethyst                            Amethist Files
\cpm\ampro                               Files for Ampro
\cpm\atari                               Atari and Conversion Programs
\cpm\aztec-c                             Aztec-C Files
\cpm\basic                               Programs in Basic
\cpm\bbsing\bbs                          BBS Files
\cpm\bbsing\bbslists                     BBS Lists
\cpm\bbsing\hbbs                         HBBS Files
\cpm\bbsing\mbbs                         MBBS Files
\cpm\bbsing\pbbs                         OBBS Files
\cpm\bbsing\rbbs                         RBBS Files
\cpm\bdos                                BDOS Files
\cpm\bdsc\bdsc-1                         BDS C Files
\cpm\bdsc\bdsc-2                         BDS C Files
\cpm\bdsc\bdsc-3                         BDS C Files
\cpm\bdsc\bdsc-4                         BDS C Files
\cpm\bondwell                            Bondwell 2 Laptop
\cpm\bstam                               BSTAM Assembler Files
\cpm\bye3                                BYE3
\cpm\bye5                                BYE5 and BYE10
\cpm\c128                                CP/M C128 Files
\cpm\c64                                 CP/M C64
\cpm\c80                                 CP/M C80
\cpm\catlog                              Cataloging Programs
\cpm\cb80                                CB80 CBTOD Routine
\cpm\cbios                               CBIOS
\cpm\ccp                                 CCP Enhanced
\cpm\cis                                 CIS and Related Programs
\cpm\comal                               Comal-80/Z80 Demo
\cpm\cpm3                                CP/M 3 and CP/M Plus Files
\cpm\cpm68k                              Utilities for CP/M 68K
\cpm\cpm86                               CP/M-86 Files
\cpm\cpr86                               CCP Replacement Files
\cpm\cug                                 SOFFTDIR Files
\cpm\database                            Database Programs and Files
\cpm\dbaseii                             DBASEII Files
\cpm\debug                               Debugger Files
\cpm\disasm                              Disassemblers
\cpm\draco                               DRACO CP/M-80 Software
\cpm\editc80                             Dr. Dobbs C/80 Editor Files
\cpm\editor                              Editor Related Files
\cpm\educatin                            Educational Files
\cpm\epson                               Epson Files
\cpm\forth-83                            Forth-83 ver. 2 for CP/M-80
\cpm\genasm                              General Assembler Files/Pgms
\cpm\gencom                              Miscellaneous Files
\cpm\gendoc                              Miscellaneous Text Documents
\cpm\graphics                            Plotting and Graphics Programs
\cpm\hamming                             Hamming Code
\cpm\hamradio                            Ham Radio Utilities
\cpm\heath                               Heath Keyboarding Files
\cpm\hitech-c                            HITECH-C Volumes
\cpm\imp                                 IMP Overlays
\cpm\kermit                              Kermit Files
\cpm\languags\c                          C Files
\cpm\languags\cobol                      Cobol Files
\cpm\languags\fortran                    Fortran Files
\cpm\languags\modula2                    Modula-2 Files
\cpm\languags\pascal                     Pascal Files
\cpm\languags\pascal-p                   Pascal-P Files
\cpm\languags\pilot80                    PILOT Interpreter in MBASIC
\cpm\languags\prolog                     Prolog Files
\cpm\languags\xlisp                      XLISP Files
\cpm\maclib                              Macro Libraries
\cpm\math                                Calculator and Math Utilities
\cpm\memtest                             Memory Testing Programs
\cpm\mex                                 MEX Programs and Files
\cpm\misc                                Miscellaneous CP/M Programs
\cpm\misc\finance                        Finance Related Programs
\cpm\modems\modem                        XMODEM Files
\cpm\modems\modem2                       XMODEM Files
\cpm\modems\modem7                       MODM7xx.* Files
\cpm\modems\xmodem                       XMODEM Assembly Files
\cpm\modems\zmodem                       ZMODEM Files
\cpm\msoft                               Microsoft Newsletters
\cpm\news                                $R/O News Magazine
\cpm\nstar                               Northstar Files
\cpm\nubye                               NUBYE and Modem Files
\cpm\packet                              Packet Programs
\cpm\parasol                             Parasol Assembler/Compiler
\cpm\pcpursut                            PC Pursuit Files
\cpm\pmnetwrk                            PoorMan's Network
\cpm\programs\bkgrondr                   BackGrounder II
\cpm\programs\calcultr                   Calculator
\cpm\programs\clockk                     Clock Program
\cpm\programs\list                       Printing Programs
\cpm\programs\ppspell                    Spell Checker
\cpm\programs\sort                       Sorting Programs
\cpm\programs\spell                      Spell Checker
\cpm\programs\spredsht                   Spreadsheet Programs
\cpm\programs\voice                      Talk and Speech Programs
\cpm\programs\wstar                      WordStar Utilities
\cpm\pubpatch                            PUBLIC Utilities
\cpm\qterm                               QTERM, Patch and Source
\cpm\rcpm                                RCP/M Files
\cpm\rcpm\filedocs                       RCP/M Documents
\cpm\ros                                 ROS, drivers, enhancements
\cpm\sb180                               For SB180 Systems
\cpm\screngen                            Screen Format Generator
\cpm\smallc21                            Small-C Compiler ver 2.1
\cpm\startkit                            CP/M Utils and Docs
\cpm\submit                              SUBMIT Replacements
\cpm\term                                Terminal Files and Programs
\cpm\trs-80                              TRS-80 Files
\cpm\turbods                             Turbodos Files
\cpm\turbodsg                            TurboDOS Programs
\cpm\turbom2                             Turbo Modula-2
\cpm\turbopas                            Turbo Pascal Files
\cpm\turbopas\tp\utl2                    Turbo Pascal Utilities
\cpm\turbopas\tp\utl3                    Turbo Pascal Utilities
\cpm\utils\arc-lbr                       ARC and LBR utility programs
\cpm\utils\asmutl                        Assembler Utilities
\cpm\utils\datestmp                      DateStamper Files
\cpm\utils\dirutl                        Directory Utilities
\cpm\utils\dskbuf                        Disk Buffering Files
\cpm\utils\dskutl                        Disk Utilities
\cpm\utils\filcpy                        File Copy Utilities
\cpm\utils\filutl                        File Utilities
\cpm\utils\hdutl                         Hard Disk Utilities
\cpm\utils\squsq                         Compression Utilties
\cpm\utils\sysutl                        System Utilities
\cpm\utils\txtutl                        Text Utilities
\cpm\utils\zip                           Un/Zip Files
\cpm\uucp                                UUCP Mail System
\cpm\uzi                                 UZI, Z80
\cpm\vdoedit                             Video Oriented Editor
\cpm\vis1050                             Visual 1050
\cpm\xccp                                Extended Console Command Proc
\cpm\xerox                               Xerox 820
\cpm\z280                                Z280 System Stuff
\cpm\z8edebug                            Debugger for Z80
\cpm\zcpr                                ZCPR Files
\cpm\zcpr2                               ZCPR Programs
\cpm\zcpr33                              ZCPR3 Programs, Files
\cpm\zcpr33\a-r                          ZCPR3 Files A-R
\cpm\zcpr33\s-z                          ZCPR3 Files S-Z
\cpm\zcpr33\tcj                          The Computer Journal
\cpm\zcpr33\z3-33                        ZCPR3.3 Files
\cpm\zcprnews                            ZCPR3/SYSLIB/ZRDOS Newsletters
\cpmhelp                                 Help Files for general CP/M
\cpminfo                                 CP/M Information Files
\demon                                   From ftp.demon.co.uk
\demon\amstrad                           From ftp.demon.co.uk:/amstrad
\emulator\msdos                          CP/M Emulator for DOS
\emulator\os2                            CP/M Emulator for OS/2
\emulator\unix\cain1                     D.J.M. Cain's Emultor for unix
\emulator\unix\cain2                     D.J.M. Cain's Emultor (newer)
\emulator\unix\z80pack                   Z80 Pack CP/M Emultor for unix
\emulator\unix\z80pack\cpmsim            Z80 PAck CP/M Simulator
\emulator\unix\z80pack\cpmsim\disks      Drive A Program
\emulator\unix\z80pack\cpmsim\srccpm     Source and Assembly
\emulator\unix\z80pack\cpmsim\srcsim     Source for CP/M Simulator
\emulator\unix\z80pack\z80asm            Z80 Assembly
\emulator\unix\z80pack\z80sim            Z80 Simulator Source
\emulator\unix\z80pack\z80src            Z80 Simulator Assembly
\enterprs\c128                           Enterprise C128 Files
\enterprs\c128\b2util                    Enterprise C18 B2 Utils
\enterprs\c128\bbs                       Enterprise C128 BBS
\enterprs\c128\games                     Enterprise C128 Games
\enterprs\c128\gfx                       Enterprise C128 Graphics
\enterprs\c128\music                     Enterprise C128 Music
\enterprs\c128\terms                     Enterprise C128 Terminal
\enterprs\c128\text                      Enterprise C128 Text
\enterprs\c128\util                      Enterprise C128 Utilities
\enterprs\c64                            Enterprise C64 Files
\enterprs\c64\ahoy                       Enterprise C64 Ahoy Magazine
\enterprs\c64\b1game                     Enterprise C64 B1 Games
\enterprs\c64\b2util                     Enterprise C64 B2 Utils
\enterprs\c64\bbs                        Enterprise C64 BBS
\enterprs\c64\games                      Enterprise C64 Games
\enterprs\c64\gazette                    Enterprise C64 Gazette
\enterprs\c64\geos                       Enterprise C64 GEOS
\enterprs\c64\gfx                        Enterprise C64 Graphics
\enterprs\c64\loadstar                   Enterprise C64 LoadStar
\enterprs\cpm\cpmug\catalog              Enterprise CP/M Catalog
\enterprs\cpm\cpmug\directry             Enterprise CP/M Directory
\enterprs\cpm\game                       Enterprise CP/M Games
\enterprs\cpm\sigm                       Enterprise CP/M SIG/M
\enterprs\cpm\terms                      Enterprise CP/M Terminal
\enterprs\cpm\text                       Enterprise CP/M Text
\enterprs\cpm\utils\a                    Enterprise CP/M Utils A-E
\enterprs\cpm\utils\f                    Enterprise CP/M Utils F-R
\enterprs\cpm\utils\s                    Enterprise CP/M Utils S-Z
\fog\fogdos                              FOG DOS Library
\fog\foghelp                             FOG Help Files
\fog\foghorn                             FOGHORN Volumes 1-8
\fog\foglight                            FogLight
\fog\fogpcomp                            FOG Data Files
\fog\fogscan                             FOGSCAN Files
\fog\fogstart                            FOG Intro Files
\fog\starter                             FOG Starter Files
\jsage\znode3                            ZNODE-3 Files
\jsage\znode3\ampro                      Sage Ampro Programs
\jsage\znode3\asm                        Sage ZNODE-3 Assembler
\jsage\znode3\bg                         Sage RE: BackGrounder II
\jsage\znode3\editors                    Sage ZNODE-3 Editors
\jsage\znode3\info                       Sage ZNODE-3 Info
\jsage\znode3\latest                     Sage ZNODE-3 Latest Files
\jsage\znode3\modem                      Sage ZNODE-3 Modem Files
\jsage\znode3\novados                    Sage ZNODE-3 NovaDOS
\jsage\znode3\nzcom                      Sage ZNODE-3 NZ-COM
\jsage\znode3\tcj                        Sage ZNODE-3 TCJ
\jsage\znode3\turbo                      Sage ZNODE-3 Turbo
\jsage\znode3\uploads                    Sage ZNODE-3 Uploads
\jsage\znode3\util                       Sage ZNODE-3 Utilities
\jsage\znode3\z3doc                      Sage ZNODE-3 Documents
\jsage\znode3\z3lib                      Sage ZNODE-3 Z3 Library
\jsage\znode3\z3new                      Sage ZNODE-3 New Files
\jsage\znode3\z3shell                    Sage Shell Programs
